Year,Month,Day,Hour,Minute,timestamp,VCD(DU),UNCERTAINTY(DU),SZA
2019,6,27,14,58,1,0.82915,0.0035108,29.58
2019,6,27,15,2,1,0.71166,0.0046338,28.86
2019,6,27,15,7,1,0.7297,0.0031462,28.14
2019,6,27,15,12,1,0.87212,0.0045753,27.46
2019,6,27,15,16,1,0.83806,0.0070552,26.75
2019,6,27,15,21,1,0.75288,0.0036817,26.09
2019,6,27,15,26,1,0.83128,0.0033419,25.43
2019,6,27,15,30,1,0.79595,0.0059815,24.81
2019,6,27,15,35,1,0.81154,0.012967,24.2
2019,6,27,15,44,1,0.80357,0.0032213,23.11
2019,6,27,15,56,1,0.79819,0.0034811,21.79
2019,6,27,16,1,1,0.73689,0.0037623,21.34
2019,6,27,16,5,1,0.73964,0.033955,20.92
2019,6,27,16,10,1,0.69329,0.023928,20.55
2019,6,27,16,15,1,0.68167,0.0036917,20.2
2019,6,27,16,19,1,0.67096,0.0045944,19.9
2019,6,27,16,24,1,0.70747,0.0037329,19.64
2019,6,27,16,28,1,0.74291,0.005962,19.43
2019,6,27,16,33,1,0.61455,0.0091431,19.26
2019,6,27,16,42,1,0.53116,0.0087871,19.07
2019,6,27,16,52,1,0.36281,0.022045,19.07
2019,6,27,16,57,1,0.7075,0.033999,19.15
2019,6,27,17,2,1,0.75888,0.11813,19.28
2019,6,27,17,6,1,0.74668,0.040794,19.46
2019,6,27,17,11,1,0.68975,0.042386,19.7
2019,6,27,17,16,1,0.79712,-3,19.97
2019,6,27,17,21,1,0.69651,0.013711,20.31
2019,6,27,17,26,1,0.74572,0.0091475,20.66
2019,6,27,17,30,1,0.52634,0.043394,21.07
2019,6,27,17,39,1,0.60465,0.014156,21.91
2019,6,27,17,49,1,0.63733,0.013052,22.99
2019,6,27,17,54,1,0.60321,0.011184,23.54
2019,6,27,17,58,1,0.61123,0.011169,24.12
2019,6,27,18,3,1,0.64794,0.011813,24.72
2019,6,27,18,8,1,0.58698,0.011283,25.34
2019,6,27,18,12,1,0.59308,0.015306,25.98
2019,6,27,18,17,1,0.57453,0.011799,26.63
2019,6,27,18,21,1,0.55741,0.014257,27.31
2019,6,27,18,26,1,0.5697,0.012737,27.99
2019,6,27,18,35,1,0.53772,0.01321,29.36
2019,6,27,18,45,1,0.53168,0.014248,30.92
2019,6,27,18,55,1,0.48398,0.014,32.65
2019,6,27,19,0,1,0.48324,0.014496,33.44
2019,6,27,19,4,1,0.45811,0.013901,34.21
2019,6,27,19,9,1,0.43916,0.01407,35
2019,6,27,19,14,1,0.43287,0.014634,35.79
2019,6,27,19,18,1,0.4614,0.013775,36.6
2019,6,27,19,23,1,0.46541,0.09752,37.41
2019,6,27,19,27,1,0.48469,0.014942,38.22
2019,6,27,19,32,1,0.48344,0.014103,39.04
2019,6,27,19,41,1,0.54957,0.012664,40.61
2019,6,27,19,51,1,0.49002,0.012757,42.36
2019,6,27,19,55,1,0.45827,0.012025,43.2
2019,6,27,20,0,1,0.46074,0.011972,44.05
2019,6,27,20,5,1,0.45721,0.012255,44.9
2019,6,27,20,7,1,0.38584,0.011928,45.38
2019,6,27,20,9,1,0.41774,0.011651,45.73
2019,6,27,20,11,1,0.44519,0.012065,46.02
2019,6,27,20,12,1,0.42772,0.011566,46.31
2019,6,27,20,14,1,0.41048,0.011348,46.6
2019,6,27,20,15,1,0.3709,0.012349,46.9
2019,6,27,20,17,1,0.37288,0.011515,47.19
2019,6,27,20,19,1,0.40564,0.01146,47.48
2019,6,27,20,20,1,0.38711,0.011575,47.76
2019,6,27,20,22,1,0.39138,0.011138,48.04
2019,6,27,20,23,1,0.38082,0.011614,48.32
2019,6,27,20,25,1,0.3777,0.011307,48.6
2019,6,27,20,26,1,0.36427,0.011211,48.89
2019,6,27,20,28,1,0.368,0.010585,49.17
2019,6,27,20,29,1,0.36076,0.010883,49.46
2019,6,27,20,31,1,0.36103,0.011276,49.74
2019,6,27,20,33,1,0.33122,0.0108,50.03
2019,6,27,20,34,1,0.39296,0.011037,50.31
2019,6,27,20,36,1,0.37207,0.010719,50.6
2019,6,27,20,38,1,0.36781,0.011297,51.06
2019,6,27,20,40,1,0.38528,0.010929,51.34
2019,6,27,20,41,1,0.34627,0.010652,51.63
2019,6,27,20,43,1,0.29712,0.010699,51.9
2019,6,27,20,44,1,0.30904,0.010604,52.18
2019,6,27,20,46,1,0.39351,0.010528,52.46
2019,6,27,20,47,1,0.38762,0.010795,52.74
2019,6,27,20,49,1,0.38068,0.010814,53.01
2019,6,27,20,50,1,0.3778,0.011991,53.29
2019,6,27,20,52,1,0.35602,0.010911,53.57
2019,6,27,20,53,1,0.32017,0.010538,53.85
2019,6,27,20,55,1,0.36137,0.010155,54.13
2019,6,27,20,56,1,0.36804,0.011006,54.41
2019,6,27,20,58,1,0.37022,0.011572,54.69
2019,6,27,20,59,1,0.37166,0.010355,54.97
2019,6,27,21,1,1,0.35878,0.010477,55.25
2019,6,27,21,2,1,0.36478,0.010461,55.53
2019,6,27,21,4,1,0.37169,0.010152,55.81
2019,6,27,21,6,1,0.39914,0.0101,56.28
2019,6,27,21,8,1,0.38734,0.0099193,56.57
2019,6,27,21,10,1,0.3858,0.010022,56.86
2019,6,27,21,11,1,0.3893,0.010337,57.15
2019,6,27,21,13,1,0.37894,0.0099071,57.44
2019,6,27,21,14,1,0.40636,0.0098076,57.73
2019,6,27,21,16,1,0.43629,0.0096938,58.02
2019,6,27,21,17,1,0.44057,0.0097739,58.31
2019,6,27,21,19,1,0.38556,0.009738,58.6
2019,6,27,21,21,1,0.42752,0.0094269,58.89
2019,6,27,21,22,1,0.39849,0.0098494,59.19
2019,6,27,21,24,1,0.38549,0.0093349,59.49
2019,6,27,21,25,1,0.43144,0.0092739,59.78
2019,6,27,21,27,1,0.45348,0.0095724,60.09
2019,6,27,21,29,1,0.46801,0.009461,60.39
2019,6,27,21,30,1,0.48297,0.0096057,60.69
2019,6,27,21,32,1,0.4697,0.0091281,61
2019,6,27,21,34,1,0.50145,0.0093058,61.3
2019,6,27,21,36,1,0.45167,0.0093672,61.79
2019,6,27,21,38,1,0.44705,0.0090301,62.07
2019,6,27,21,39,1,0.47371,0.0090336,62.36
2019,6,27,21,41,1,0.46639,0.0089349,62.65
2019,6,27,21,43,1,0.5043,0.0089813,62.95
2019,6,27,21,44,1,0.50276,0.012911,63.24
2019,6,27,21,46,1,0.48705,0.0095755,63.53
2019,6,27,21,47,1,0.4236,0.0087182,63.82
2019,6,27,21,49,1,0.40324,0.0084345,64.1
2019,6,27,21,51,1,0.38993,0.0091748,64.4
2019,6,27,21,52,1,0.36572,0.007608,64.68
2019,6,27,21,54,1,0.35857,0.10763,64.98
2019,6,27,21,55,1,0.32591,0.022348,65.26
2019,6,27,21,57,1,0.38503,0.014839,65.55
2019,6,27,21,58,1,0.34502,0.0082642,65.84
2019,6,27,22,0,1,0.35365,0.0082022,66.13
2019,6,27,22,2,1,0.35214,0.0090988,66.42
2019,6,27,22,3,1,0.34367,0.0081542,66.71
2019,6,27,22,6,1,0.44173,0.0082124,67.17
2019,6,27,22,7,1,0.44237,0.008155,67.45
2019,6,27,22,9,1,0.45202,0.0081127,67.74
2019,6,27,22,11,1,0.52826,0.0080392,68.03
2019,6,27,22,12,1,0.42959,0.0078986,68.31
2019,6,27,22,14,1,0.44473,0.0079378,68.6
