time,qa,lons,no2,lats,timestamp
2019-07-15T17:02:25.989000Z,1,-71.91462,6.67E-06,42.04081,1
2019-07-15T17:02:27.069000Z,1,-71.94762,1.75E-05,42.100975,1
2019-07-15T17:02:28.149000Z,1,-71.98065,5.56E-06,42.161118,1
2019-07-15T17:02:24.909000Z,1,-71.78642,1.64E-05,42.0208,1
2019-07-15T17:02:25.989000Z,1,-71.819305,-2.99E-06,42.081,1
2019-07-15T17:02:27.069000Z,1,-71.85223,8.17E-07,42.141197,1
2019-07-15T17:02:28.149000Z,1,-71.8852,6.06E-06,42.201374,1
2019-07-15T17:02:29.229000Z,1,-71.9182,9.70E-06,42.261555,1
2019-07-15T17:02:30.309000Z,1,-71.95122,6.38E-06,42.321762,1
2019-07-15T17:02:31.389000Z,1,-71.98442,1.50E-07,42.38194,1
2019-07-15T17:02:23.830000Z,1,-71.65955,8.79E-06,42.000053,1
2019-07-15T17:02:24.909000Z,1,-71.69231,2.19E-05,42.06031,1
2019-07-15T17:02:25.989000Z,1,-71.72511,2.05E-05,42.12054,1
2019-07-15T17:02:27.069000Z,1,-71.75797,2.29E-05,42.180767,1
2019-07-15T17:02:28.149000Z,1,-71.79088,3.56E-06,42.240974,1
2019-07-15T17:02:29.229000Z,1,-71.82381,1.26E-05,42.301186,1
2019-07-15T17:02:30.309000Z,1,-71.85676,-5.69E-07,42.36142,1
2019-07-15T17:02:31.389000Z,1,-71.88989,1.51E-05,42.42163,1
2019-07-15T17:02:32.469000Z,1,-71.92312,2.18E-05,42.48177,1
2019-07-15T17:02:33.549000Z,1,-71.956406,1.07E-05,42.54194,1
2019-07-15T17:02:34.629000Z,1,-71.98975,3.31E-07,42.602074,1
2019-07-15T17:02:23.830000Z,1,-71.566605,1.81E-05,42.038895,1
2019-07-15T17:02:24.909000Z,1,-71.59929,1.76E-05,42.099182,1
2019-07-15T17:02:25.989000Z,1,-71.63203,3.18E-05,42.159443,1
2019-07-15T17:02:27.069000Z,1,-71.66482,1.16E-05,42.2197,1
2019-07-15T17:02:28.149000Z,1,-71.697655,7.54E-06,42.279934,1
2019-07-15T17:02:29.229000Z,1,-71.730515,2.55E-05,42.340176,1
2019-07-15T17:02:30.309000Z,1,-71.7634,9.62E-06,42.40044,1
2019-07-15T17:02:31.389000Z,1,-71.79647,1.85E-05,42.46068,1
2019-07-15T17:02:32.469000Z,1,-71.82963,2.38E-06,42.52085,1
2019-07-15T17:02:33.549000Z,1,-71.86284,1.35E-05,42.58105,1
2019-07-15T17:02:34.629000Z,1,-71.89612,6.38E-06,42.641216,1
2019-07-15T17:02:35.709000Z,1,-71.92937,1.14E-05,42.701405,1
2019-07-15T17:02:36.789000Z,1,-71.962715,9.81E-06,42.76159,1
2019-07-15T17:02:37.869000Z,1,-71.99618,6.79E-07,42.821728,1
2019-07-15T17:02:22.750000Z,1,-71.44225,1.18E-05,42.016796,1
2019-07-15T17:02:23.830000Z,1,-71.474724,1.58E-05,42.077114,1
2019-07-15T17:02:24.909000Z,1,-71.50734,1.12E-05,42.137432,1
2019-07-15T17:02:25.989000Z,1,-71.540016,1.17E-05,42.197723,1
2019-07-15T17:02:27.069000Z,1,-71.57274,4.68E-06,42.258007,1
2019-07-15T17:02:28.149000Z,1,-71.6055,2.67E-06,42.31827,1
2019-07-15T17:02:29.229000Z,1,-71.6383,4.22E-06,42.378544,1
2019-07-15T17:02:30.309000Z,1,-71.67111,-3.31E-07,42.43884,1
2019-07-15T17:02:31.389000Z,1,-71.70412,1.07E-05,42.499107,1
2019-07-15T17:02:32.469000Z,1,-71.737206,-7.35E-07,42.559307,1
2019-07-15T17:02:33.549000Z,1,-71.77035,1.01E-05,42.619537,1
2019-07-15T17:02:34.629000Z,1,-71.80356,1.14E-05,42.679733,1
2019-07-15T17:02:35.709000Z,1,-71.83674,1.32E-05,42.73995,1
2019-07-15T17:02:36.789000Z,1,-71.870026,1.21E-05,42.800163,1
2019-07-15T17:02:37.869000Z,1,-71.90341,5.67E-06,42.860336,1
2019-07-15T17:02:38.949000Z,1,-71.93681,9.54E-06,42.920525,1
2019-07-15T17:02:40.029000Z,1,-71.97035,5.65E-06,42.980717,1
2019-07-15T17:02:22.750000Z,1,-71.35149,7.67E-06,42.054386,1
2019-07-15T17:02:23.830000Z,1,-71.38389,2.87E-05,42.114735,1
2019-07-15T17:02:24.909000Z,1,-71.41644,7.40E-06,42.175083,1
2019-07-15T17:02:25.989000Z,1,-71.44904,1.11E-05,42.2354,1
2019-07-15T17:02:27.069000Z,1,-71.4817,6.41E-06,42.295715,1
2019-07-15T17:02:28.149000Z,1,-71.5144,1.42E-05,42.356007,1
2019-07-15T17:02:29.229000Z,1,-71.54713,1.48E-05,42.41631,1
2019-07-15T17:02:30.309000Z,1,-71.57988,1.24E-05,42.47663,1
2019-07-15T17:02:31.389000Z,1,-71.61281,4.17E-06,42.536926,1
2019-07-15T17:02:32.469000Z,1,-71.64583,3.92E-06,42.597157,1
2019-07-15T17:02:33.549000Z,1,-71.67891,2.24E-06,42.657417,1
2019-07-15T17:02:34.629000Z,1,-71.71205,4.15E-06,42.717644,1
2019-07-15T17:02:35.709000Z,1,-71.74516,1.12E-05,42.77789,1
2019-07-15T17:02:36.789000Z,1,-71.77837,1.11E-05,42.83813,1
2019-07-15T17:02:37.869000Z,1,-71.8117,-1.95E-06,42.89833,1
2019-07-15T17:02:38.949000Z,1,-71.84503,9.33E-06,42.95855,1
2019-07-15T17:02:21.670000Z,1,-71.22942,1.94E-05,42.031002,1
2019-07-15T17:02:22.750000Z,1,-71.261734,1.92E-05,42.091393,1
2019-07-15T17:02:23.830000Z,1,-71.294075,1.74E-05,42.151768,1
2019-07-15T17:02:24.909000Z,1,-71.32655,1.65E-05,42.212143,1
2019-07-15T17:02:25.989000Z,1,-71.35909,-2.79E-06,42.27249,1
2019-07-15T17:02:27.069000Z,1,-71.39168,1.41E-05,42.332832,1
2019-07-15T17:02:28.149000Z,1,-71.42432,1.11E-06,42.393154,1
2019-07-15T17:02:29.229000Z,1,-71.45698,1.99E-05,42.453484,1
2019-07-15T17:02:30.309000Z,1,-71.48966,9.50E-06,42.513832,1
2019-07-15T17:02:31.389000Z,1,-71.52252,-2.18E-06,42.574158,1
2019-07-15T17:02:32.469000Z,1,-71.55548,8.11E-06,42.63442,1
2019-07-15T17:02:33.549000Z,1,-71.588486,1.70E-05,42.694706,1
2019-07-15T17:02:34.629000Z,1,-71.62156,1.17E-05,42.75496,1
2019-07-15T17:02:35.709000Z,1,-71.6546,-2.36E-06,42.815235,1
2019-07-15T17:02:36.789000Z,1,-71.68775,2.85E-06,42.875507,1
2019-07-15T17:02:37.869000Z,1,-71.72101,-7.75E-06,42.935738,1
2019-07-15T17:02:38.949000Z,0.74,-71.75427,1.40E-05,42.995983,1
2019-07-15T17:02:20.590000Z,1,-71.10855,2.55E-05,42.00698,1
2019-07-15T17:02:21.670000Z,1,-71.14073,2.37E-05,42.06741,1
2019-07-15T17:02:22.750000Z,1,-71.17297,3.49E-05,42.127827,1
2019-07-15T17:02:23.830000Z,1,-71.205246,4.57E-05,42.18823,1
2019-07-15T17:02:24.909000Z,1,-71.23766,2.45E-05,42.24863,1
2019-07-15T17:02:25.989000Z,1,-71.27014,3.82E-06,42.309006,1
2019-07-15T17:02:27.069000Z,1,-71.30266,2.08E-05,42.369377,1
2019-07-15T17:02:28.149000Z,1,-71.33523,1.37E-05,42.429726,1
2019-07-15T17:02:29.229000Z,1,-71.36782,9.31E-06,42.49008,1
2019-07-15T17:02:30.309000Z,1,-71.40044,3.93E-06,42.55046,1
2019-07-15T17:02:31.389000Z,1,-71.433235,1.50E-05,42.610813,1
2019-07-15T17:02:32.469000Z,1,-71.466125,1.16E-05,42.6711,1
2019-07-15T17:02:33.549000Z,1,-71.49906,8.76E-06,42.73142,1
2019-07-15T17:02:34.629000Z,1,-71.53207,1.79E-05,42.791702,1
2019-07-15T17:02:35.709000Z,1,-71.56505,1.71E-07,42.852005,1
2019-07-15T17:02:36.789000Z,1,-71.59813,4.24E-06,42.912304,1
2019-07-15T17:02:37.869000Z,1,-71.63131,8.85E-06,42.97256,1
2019-07-15T17:02:20.590000Z,1,-71.02089,1.92E-05,42.042805,1
2019-07-15T17:02:21.670000Z,1,-71.053,2.71E-05,42.10326,1
2019-07-15T17:02:22.750000Z,1,-71.08518,2.77E-05,42.163704,1
2019-07-15T17:02:23.830000Z,1,-71.11739,1.22E-05,42.224133,1
2019-07-15T17:02:24.909000Z,1,-71.14974,1.03E-05,42.284565,1
2019-07-15T17:02:25.989000Z,1,-71.18215,2.03E-05,42.344967,1
2019-07-15T17:02:27.069000Z,1,-71.21461,8.87E-06,42.405365,1
2019-07-15T17:02:28.149000Z,1,-71.2471,1.66E-05,42.46574,1
2019-07-15T17:02:29.229000Z,1,-71.27963,1.48E-05,42.526123,1
2019-07-15T17:02:30.309000Z,1,-71.31219,-1.97E-06,42.58653,1
