cornerlat1,qa,time,timestamp,cornerlat2,lons,cornerlon3,cloud,cornerlat4,cornerlon1,cornerlat3,cornerlon4,no2_error,no2,cornerlon2,lats
41.968967,1,2019-07-01T18:04:47.762000Z,1562004287,41.973137,-70.08322,-70.05761,0.004562726,42.03196,-70.10867,42.03613,-70.12416,1.03E-05,1.64E-05,-70.04218,42.002556
41.973137,1,2019-07-01T18:04:47.762000Z,1562004287,41.97726,-70.01645,-69.99054,8.36E-05,42.03613,-70.04218,42.04025,-70.05761,1.11E-05,2.47E-05,-69.97519,42.006702
41.96913,1,2019-07-01T18:04:48.842000Z,1562004288,41.973877,-70.98516,-70.963135,0.09801873,42.03212,-71.007095,42.036865,-71.02349,1.06E-05,1.68E-05,-70.94681,42.003
41.973877,1,2019-07-01T18:04:48.842000Z,1562004288,41.978584,-70.924644,-70.90239,0.017418029,42.036865,-70.94681,42.041573,-70.963135,1.24E-05,3.14E-05,-70.886116,42.007725
41.978584,1,2019-07-01T18:04:48.842000Z,1562004288,41.983257,-70.86372,-70.84123,0.024015766,42.041573,-70.886116,42.04624,-70.90239,1.19E-05,2.91E-05,-70.82502,42.012417
41.983257,1,2019-07-01T18:04:48.842000Z,1562004288,41.98789,-70.80239,-70.77967,0.014316451,42.04624,-70.82502,42.050877,-70.84123,1.03E-05,1.00E-05,-70.76352,42.017067
41.98789,1,2019-07-01T18:04:48.842000Z,1562004288,41.99248,-70.74065,-70.71768,0.005170858,42.050877,-70.76352,42.055466,-70.77967,1.39E-05,4.06E-05,-70.7016,42.02168
41.99248,1,2019-07-01T18:04:48.842000Z,1562004288,41.997032,-70.67848,-70.65527,0.000973641,42.055466,-70.7016,42.06002,-70.71768,1.14E-05,2.27E-05,-70.63925,42.02625
41.997032,1,2019-07-01T18:04:48.842000Z,1562004288,42.001545,-70.61589,-70.59243,0,42.06002,-70.63925,42.064533,-70.65527,1.24E-05,2.67E-05,-70.57647,42.030785
42.001545,1,2019-07-01T18:04:48.842000Z,1562004288,42.006016,-70.55286,-70.529144,0,42.064533,-70.57647,42.069004,-70.59243,1.25E-05,2.75E-05,-70.513245,42.035275
42.006016,1,2019-07-01T18:04:48.842000Z,1562004288,42.01045,-70.48937,-70.46541,0,42.069004,-70.513245,42.073433,-70.529144,1.17E-05,1.73E-05,-70.44957,42.039726
42.01045,1,2019-07-01T18:04:48.842000Z,1562004288,42.014835,-70.42544,-70.40121,0,42.073433,-70.44957,42.077824,-70.46541,1.05E-05,3.71E-06,-70.38544,42.044136
42.014835,1,2019-07-01T18:04:48.842000Z,1562004288,42.01918,-70.361046,-70.33655,0,42.077824,-70.38544,42.08217,-70.40121,1.28E-05,2.88E-05,-70.32084,42.048504
42.01918,1,2019-07-01T18:04:48.842000Z,1562004288,42.023483,-70.29618,-70.27141,0,42.08217,-70.32084,42.086468,-70.33655,1.08E-05,1.24E-05,-70.25577,42.052826
42.023483,1,2019-07-01T18:04:48.842000Z,1562004288,42.027744,-70.23083,-70.20579,0.013321492,42.086468,-70.25577,42.09073,-70.27141,9.44E-06,1.07E-05,-70.19021,42.057106
42.027744,1,2019-07-01T18:04:48.842000Z,1562004288,42.031956,-70.16499,-70.13967,0.019543571,42.09073,-70.19021,42.09494,-70.20579,8.86E-06,7.57E-06,-70.12416,42.061344
42.031956,1,2019-07-01T18:04:48.842000Z,1562004288,42.036125,-70.09866,-70.07305,0.005414152,42.09494,-70.12416,42.09911,-70.13967,9.66E-06,6.89E-06,-70.05761,42.065536
42.036125,1,2019-07-01T18:04:48.842000Z,1562004288,42.04025,-70.03182,-70.00592,0,42.09911,-70.05761,42.10323,-70.07305,9.98E-06,1.13E-05,-69.99054,42.06968
41.9672,1,2019-07-01T18:04:49.922000Z,1562004289,41.972397,-71.755684,-71.73626,0.110371284,42.030174,-71.77494,42.035374,-71.79209,7.72E-06,7.11E-06,-71.71916,42.0013
41.972397,1,2019-07-01T18:04:49.922000Z,1562004289,41.977562,-71.69972,-71.68011,0.124754556,42.035374,-71.71916,42.04054,-71.73626,1.26E-05,2.24E-05,-71.66306,42.00648
41.977562,0.74,2019-07-01T18:04:49.922000Z,1562004289,41.982693,-71.64344,-71.623634,0.1508535,42.04054,-71.66306,42.04567,-71.68011,1.23E-05,1.75E-05,-71.60665,42.011627
41.982693,1,2019-07-01T18:04:49.922000Z,1562004289,41.98779,-71.58683,-71.56683,0.027913885,42.04567,-71.60665,42.05077,-71.623634,1.12E-05,2.03E-05,-71.549904,42.016743
41.98779,1,2019-07-01T18:04:49.922000Z,1562004289,41.992855,-71.52989,-71.5097,0.021621052,42.05077,-71.549904,42.055832,-71.56683,1.32E-05,3.12E-05,-71.49283,42.021824
41.992855,1,2019-07-01T18:04:49.922000Z,1562004289,41.997883,-71.47262,-71.452225,0.020363145,42.055832,-71.49283,42.060863,-71.5097,1.15E-05,1.84E-05,-71.43541,42.02687
41.997883,1,2019-07-01T18:04:49.922000Z,1562004289,42.00288,-71.415,-71.39441,0.014432345,42.060863,-71.43541,42.06586,-71.452225,1.16E-05,1.49E-05,-71.37765,42.031887
42.00288,1,2019-07-01T18:04:49.922000Z,1562004289,42.007843,-71.35704,-71.336235,0.026877746,42.06586,-71.37765,42.070824,-71.39441,1.30E-05,3.08E-05,-71.31954,42.036865
42.007843,1,2019-07-01T18:04:49.922000Z,1562004289,42.012768,-71.29872,-71.27771,0.05953553,42.070824,-71.31954,42.075752,-71.336235,1.06E-05,1.98E-05,-71.26107,42.04181
42.012768,1,2019-07-01T18:04:49.922000Z,1562004289,42.017662,-71.240036,-71.21882,0.09569802,42.075752,-71.26107,42.080643,-71.27771,8.98E-06,1.18E-05,-71.20223,42.04672
42.017662,1,2019-07-01T18:04:49.922000Z,1562004289,42.022514,-71.18099,-71.15955,0.04327356,42.080643,-71.20223,42.0855,-71.21882,1.08E-05,1.07E-05,-71.143036,42.051594
42.022514,1,2019-07-01T18:04:49.922000Z,1562004289,42.027336,-71.121574,-71.099915,0.07607892,42.0855,-71.143036,42.09032,-71.15955,9.45E-06,1.59E-05,-71.08345,42.05643
42.027336,1,2019-07-01T18:04:49.922000Z,1562004289,42.03212,-71.061775,-71.039894,0.08219331,42.09032,-71.08345,42.095104,-71.099915,1.09E-05,2.07E-05,-71.02349,42.061234
42.03212,1,2019-07-01T18:04:49.922000Z,1562004289,42.036865,-71.00159,-70.97948,0.08829448,42.095104,-71.02349,42.09985,-71.039894,1.25E-05,2.63E-05,-70.963135,42.065998
42.036865,1,2019-07-01T18:04:49.922000Z,1562004289,42.041573,-70.941,-70.91867,0.03633523,42.09985,-70.963135,42.104557,-70.97948,1.09E-05,2.48E-05,-70.90239,42.070724
42.041573,1,2019-07-01T18:04:49.922000Z,1562004289,42.04624,-70.88003,-70.85745,0.046349082,42.104557,-70.90239,42.109226,-70.91867,1.29E-05,2.99E-05,-70.84123,42.075413
42.04624,1,2019-07-01T18:04:49.922000Z,1562004289,42.050873,-70.818634,-70.79582,0.03805309,42.109226,-70.84123,42.11386,-70.85745,1.15E-05,2.55E-05,-70.77967,42.080063
42.050873,1,2019-07-01T18:04:49.922000Z,1562004289,42.055466,-70.75683,-70.73378,0.006822961,42.11386,-70.77967,42.11845,-70.79582,1.18E-05,2.30E-05,-70.71768,42.084675
42.055466,1,2019-07-01T18:04:49.922000Z,1562004289,42.06002,-70.6946,-70.6713,0.004472483,42.11845,-70.71768,42.123005,-70.73378,1.07E-05,1.59E-05,-70.65527,42.08925
42.06002,1,2019-07-01T18:04:49.922000Z,1562004289,42.064533,-70.63194,-70.6084,0,42.123005,-70.65527,42.127518,-70.6713,1.13E-05,1.75E-05,-70.59243,42.09378
42.064533,1,2019-07-01T18:04:49.922000Z,1562004289,42.069004,-70.56885,-70.545044,0,42.127518,-70.59243,42.13199,-70.6084,1.15E-05,1.42E-05,-70.529144,42.098274
42.069004,1,2019-07-01T18:04:49.922000Z,1562004289,42.073433,-70.5053,-70.48125,0,42.13199,-70.529144,42.136417,-70.545044,1.21E-05,2.57E-05,-70.4654,42.102722
