cornerlat1,qa,time,timestamp,cornerlat2,lons,cornerlon3,cloud,cornerlat4,cornerlon1,cornerlat3,cornerlon4,no2_error,no2,cornerlon2,lats
41.980507,1.0,2019-07-06T16:31:24.011000Z,1562430684,42.027134,-70.10431,-70.07847,0.054044195,42.03831,-70.130486,42.08498,-70.16933,1.37e-5,4.15e-5,-70.03967,42.032814
42.027134,1.0,2019-07-06T16:31:24.011000Z,1562430684,42.07307,-70.014015,-69.98868,0.051879693,42.08498,-70.03967,42.130955,-70.07847,1.28e-5,3.67e-5,-69.94993,42.079113
41.99093,1.0,2019-07-06T16:31:25.091000Z,1562430685,42.03831,-70.234665,-70.208305,0.0591826,42.048637,-70.26129,42.096058,-70.30032,1.29e-5,3.65e-5,-70.16933,42.0436
42.03831,1.0,2019-07-06T16:31:25.091000Z,1562430685,42.084976,-70.14323,-70.11739,0.054919027,42.096058,-70.16933,42.14277,-70.208305,1.35e-5,4.0e-5,-70.07847,42.09064
42.084976,1.0,2019-07-06T16:31:25.091000Z,1562430685,42.13095,-70.05288,-70.02756,0.051145162,42.14277,-70.07847,42.18878,-70.11739,1.21e-5,3.37e-5,-69.98868,42.136982
42.00048,1.0,2019-07-06T16:31:26.171000Z,1562430686,42.048637,-70.366264,-70.33926,0.057959776,42.058243,-70.39346,42.10644,-70.43245,1.36e-5,3.93e-5,-70.30032,42.05351
42.048637,1.0,2019-07-06T16:31:26.171000Z,1562430686,42.096058,-70.27367,-70.2472,0.05393386,42.10644,-70.30032,42.153904,-70.33926,1.4e-5,4.18e-5,-70.208305,42.101315
42.096058,1.0,2019-07-06T16:31:26.171000Z,1562430686,42.14277,-70.18218,-70.156235,0.05139858,42.153904,-70.208305,42.20065,-70.2472,1.16e-5,3.06e-5,-70.11739,42.1484
42.14277,1.0,2019-07-06T16:31:26.171000Z,1562430686,42.18878,-70.09178,-70.066345,0.050420564,42.20065,-70.11739,42.246704,-70.156235,1.53e-5,4.9e-5,-70.02756,42.19478
42.18878,1.0,2019-07-06T16:31:26.171000Z,1562430686,42.23412,-70.00244,-69.9775,0.049959682,42.246704,-70.02756,42.29208,-70.066345,1.32e-5,3.91e-5,-69.93876,42.24047
42.058243,1.0,2019-07-06T16:31:27.251000Z,1562430687,42.106438,-70.40519,-70.37822,0.057646137,42.116028,-70.43245,42.164265,-70.47146,1.31e-5,3.58e-5,-70.33926,42.111347
42.106438,1.0,2019-07-06T16:31:27.251000Z,1562430687,42.1539,-70.31254,-70.28611,0.054151077,42.164265,-70.33926,42.211765,-70.37822,1.24e-5,3.42e-5,-70.2472,42.159195
42.1539,1.0,2019-07-06T16:31:27.251000Z,1562430687,42.20065,-70.22101,-70.1951,0.052242897,42.211765,-70.2472,42.258556,-70.28611,1.48e-5,4.51e-5,-70.156235,42.206318
42.20065,1.0,2019-07-06T16:31:27.251000Z,1562430687,42.2467,-70.13056,-70.10516,0.05183409,42.258556,-70.156235,42.304646,-70.1951,1.39e-5,4.11e-5,-70.066345,42.252735
42.2467,1.0,2019-07-06T16:31:27.251000Z,1562430687,42.29208,-70.041176,-70.01627,0.050568722,42.304646,-70.066345,42.350063,-70.10516,1.4e-5,4.27e-5,-69.9775,42.298466
42.116028,1.0,2019-07-06T16:31:28.331000Z,1562430688,42.164265,-70.4443,-70.417465,0.06492274,42.17369,-70.47146,42.221966,-70.51076,1.32e-5,3.53e-5,-70.37822,42.169098
42.164265,1.0,2019-07-06T16:31:28.331000Z,1562430688,42.211765,-70.3516,-70.32531,0.05547758,42.221966,-70.37822,42.269512,-70.417465,1.51e-5,4.55e-5,-70.28611,42.216984
42.211765,1.0,2019-07-06T16:31:28.331000Z,1562430688,42.258553,-70.26002,-70.234245,0.05272284,42.269512,-70.28611,42.316338,-70.32531,1.51e-5,4.52e-5,-70.1951,42.264145
